URL, number of outlinks
https://www.gmarket.co.kr/, 348
http://minishop.gmarket.co.kr/milktminishop, 20
http://member2.gmarket.co.kr/TermsPolicy/YouthPolicy, 3
http://minishop.gmarket.co.kr/debec, 102
https://www.gmarket.co.kr/#skip-navigation-category-all, 348
https://club.gmarket.co.kr/, 9
https://www.gmarket.co.kr/#skip-navigation-container, 349
http://minishop.gmarket.co.kr/todolibro, 51
http://category.gmarket.co.kr/listview/L100000051.aspx, 384
http://category.gmarket.co.kr/listview/L100000095.aspx, 210
http://item.gmarket.co.kr/Item?goodsCode=2079838964, 34
https://help.gmarket.co.kr/Tcs/CustomerServiceChannel/InquiryWriting, 7
http://diary2.gmarket.co.kr/Favorite/MyFavoriteItems, 7
http://minishop.gmarket.co.kr/villivcar, 20
http://category.gmarket.co.kr/listview/L100000005.aspx, 375
http://shop.gmarket.co.kr/dealermall/Index.aspx, 0
http://category.gmarket.co.kr/listview/L100000093.aspx, 305
http://category.gmarket.co.kr/listview/L100000077.aspx, 226
http://corners.gmarket.co.kr/Bestsellers?ItemId=2020654208#2020654208, 299
http://item.gmarket.co.kr/Item?goodsCode=1779585988, 63
http://shop.gmarket.co.kr/funation/funmain.aspx, 104
http://minishop.gmarket.co.kr/shinsegae9, 109
http://category.gmarket.co.kr/listview/L100000084.aspx, 151
http://minishop.gmarket.co.kr/brich, 80
2337308072, 70
http://item.gmarket.co.kr/Item?goodsCode=2203666179, 55
http://item.gmarket.co.kr/Item?goodsCode=701005083, 76
http://category.gmarket.co.kr/listview/L100000112.aspx, 220
http://category.gmarket.co.kr/listview/L100000096.aspx, 235
http://rpp.gmarket.co.kr/?exhib=34198, 3
http://www.gmarket.co.kr/challenge/neo_include/login/redirect_gateway.asp?site=G9&redir=http://www.g9.co.kr/Display/LifeStyle/2000006060, 0
http://minishop.gmarket.co.kr/bebesupmall, 48
http://corners.gmarket.co.kr/Bestsellers?ItemId=1478154564#1478154564, 299
http://item.gmarket.co.kr/Item?goodsCode=701546369, 67
http://corners.gmarket.co.kr/Bestsellers?ItemId=2363606297#2363606297, 301
http://corners.gmarket.co.kr/Bestsellers?ItemId=2365501324#2365501324, 299
http://item.gmarket.co.kr/Item?goodsCode=2363602889, 76
http://item.gmarket.co.kr/Item?goodsCode=2080906944, 52
http://corners.gmarket.co.kr/Bestsellers?ItemId=2287412673#2287412673, 299
http://item.gmarket.co.kr/Item?goodsCode=1883730294, 72
https://rpp.gmarket.co.kr/?exhib=49525, 30
http://corners.gmarket.co.kr/Bestsellers?ItemId=2242722016#2242722016, 300
http://corners.gmarket.co.kr/Bestsellers?ItemId=1538813893#1538813893, 299
https://rpp.gmarket.co.kr/?exhib=52847, 86
http://corners.gmarket.co.kr/Bestsellers?ItemId=2313332796#2313332796, 299
http://corners.gmarket.co.kr/SmileClub, 9
