URL, number of outlinks
https://www.tudn.com/, 89
https://www.tudn.com/TUDN-radio, 93
https://www.tudn.com/futbol/mexico, 89
https://www.tudn.com/radio, 89
https://www.tudn.com/futbol/hector-herrera-reunira-houston-dynamo-conocer-proyecto-mls, 68
https://www.tudn.com/futbol/liga-campeones-concacaf/acevedo-se-precipita-quioto-lo-elude-y-marca-el-1-0-de-cf-montreal-video, 68
https://www.tudn.com/futbol/liga-campeones-concacaf/encendidos-acevedo-le-ataja-a-quioto-y-despues-hubo-conato-de-bronca-video, 69
https://www.tudn.com/futbol/uefa-champions-league/benfica-vs-ajax-uefa-champions-league-2022-02-23, 69
https://www.tudn.com/futbol/mls, 92
https://www.tudn.com/futbol/liga-campeones-concacaf/pumas-unam-vs-saprissa-concacaf-champions-league-2022-02-23, 68
https://www.tudn.com/boxeo, 90
https://www.tudn.com/futbol/liga-campeones-concacaf/colorado-rapids-cf-vs-comunicaciones-concacaf-champions-league-2022-02-23, 68
https://www.tudn.com/futbol, 84
https://www.tudn.com/futbol/uefa-champions-league/atletico-de-madrid-vs-manchester-united-uefa-champions-league-2022-02-23, 68
https://www.tudn.com/futbol/mls/javier-chicharito-hernandez-niega-que-su-carrera-este-casi-terminada, 68
https://www.tudn.com, 89
https://www.tudn.com/futbol/liga-campeones-concacaf/santos-por-fin-llego-gorriaran-prende-de-volea-y-exige-a-breza-video, 70
https://www.tudn.com/futbol/liga-campeones-concacaf/otra-vez-palermo-ortiz-cabecea-cruzado-para-el-1-0-ante-el-saprissa-video, 70
https://www.tudn.com/futbol/uefa-champions-league, 71
https://www.tudn.com/futbol/mls/mls-todos-home-openers-temporada-2022, 74
https://www.tudn.com/futbol/liga-campeones-concacaf/era-el-que-liquidaba-la-serie-choiniere-le-saca-pintura-al-travesano-video, 68
https://www.tudn.com/mundial-catar-2022/sorteo-mundial-qatar-2022-cuando-es-donde-como-sera, 68
https://www.tudn.com/futbol/liga-campeones-concacaf/montreal-vence-santos-laguna-elimina-concacaf-champions-league, 69
